Date,Close
2020-12-07,344.0881652832031
2020-12-08,345.0950012207031
2020-12-09,341.9998474121094
2020-12-10,341.8880310058594
2020-12-11,341.48712158203125
2020-12-14,339.9582214355469
2020-12-15,344.5542907714844
2020-12-16,345.0950012207031
2020-12-17,347.0246887207031
2020-12-18,345.6390686035156
2020-12-21,344.40325927734375
2020-12-22,343.8228759765625
2020-12-23,344.1317443847656
2020-12-24,345.4705810546875
2020-12-28,348.4384765625
2020-12-29,347.7737121582031
2020-12-30,348.27001953125
2020-12-31,350.0393981933594
2021-01-04,345.27398681640625
2021-01-05,347.6520080566406
2021-01-06,349.73046875
2021-01-07,354.9265441894531
2021-01-08,356.9488830566406
2021-01-11,354.5427551269531
2021-01-12,354.61761474609375
2021-01-13,355.57257080078125
2021-01-14,354.3273620605469
2021-01-15,351.7433776855469
2021-01-19,354.5052795410156
2021-01-20,359.4111633300781
2021-01-21,359.7388000488281
2021-01-22,358.4654541015625
2021-01-25,359.8792724609375
2021-01-26,359.3175048828125
2021-01-27,350.5356750488281
2021-01-28,353.55023193359375
2021-01-29,346.472412109375
2021-02-01,352.2395935058594
2021-02-02,357.2203674316406
2021-02-03,357.5011901855469
2021-02-04,361.564453125
2021-02-05,362.9875793457031
2021-02-08,365.6089782714844
2021-02-09,365.3656005859375
2021-02-10,365.20648193359375
2021-02-11,365.79620361328125
2021-02-12,367.60321044921875
2021-02-16,367.2848815917969
2021-02-17,367.36920166015625
2021-02-18,365.8055725097656
2021-02-19,365.15960693359375
2021-02-22,362.3509216308594
2021-02-23,362.7909240722656
2021-02-24,366.7886657714844
2021-02-25,357.9505920410156
2021-02-26,356.1062316894531
2021-03-01,364.73828125
2021-03-02,361.8921203613281
2021-03-03,357.09857177734375
2021-03-04,352.6796569824219
2021-03-05,359.167724609375
2021-03-08,357.3795166015625
2021-03-09,362.4820251464844
2021-03-10,364.73828125
2021-03-11,368.4364929199219
2021-03-12,368.9326171875
2021-03-15,371.1326904296875
2021-03-16,370.6646728515625
2021-03-17,371.9285888671875
2021-03-18,366.5172424316406
2021-03-19,365.8390197753906
2021-03-22,368.76019287109375
2021-03-23,365.8577575683594
2021-03-24,363.99798583984375
2021-03-25,366.045654296875
2021-03-26,371.9444885253906
2021-03-29,371.75653076171875
2021-03-30,370.7703552246094
2021-03-31,372.2731628417969
2021-04-01,376.2934265136719
2021-04-05,381.6943664550781
2021-04-06,381.46893310546875
2021-04-07,381.9104309082031
2021-04-08,383.7233581542969
2021-04-09,386.5129699707031
2021-04-12,386.65386962890625
2021-04-13,387.7998962402344
2021-04-14,386.4754638671875
2021-04-15,390.6271057128906
2021-04-16,391.9327392578125
2021-04-19,390.0072326660156
2021-04-20,387.1518249511719
2021-04-21,390.8149719238281
2021-04-22,387.24560546875
2021-04-23,391.4443664550781
2021-04-26,392.2615661621094
2021-04-27,392.1769714355469
2021-04-28,392.0643005371094
2021-04-29,394.56280517578125
2021-04-30,391.9703063964844
2021-05-03,392.81573486328125
2021-05-04,390.3923645019531
