date,SPY Buy & Hold,Equal Weight Universe,Top-k Momentum,Top-k Vol-Adjusted Momentum,Ridge Predicted Return,Gradient Boosting Predicted Return
2016-03-01,1.0235074407750808,1.0162715675281935,0.9990220187972267,0.9990220187972267,1.0267365682829632,1.029243356478814
2016-03-02,1.0281051167741817,1.0231381518284186,1.0044651476049966,1.0044651476049966,1.0307666303707181,1.0374930749802944
2016-03-03,1.03213482751024,1.0311006058254064,1.0127813205799836,1.0127813205799836,1.0348124803256602,1.0443728362024745
2016-03-04,1.0354928730364803,1.0352792931436496,1.0111834881586987,1.0111834881586987,1.038592991492207,1.0533452432553014
2016-03-07,1.0363194803669538,1.036375194035953,1.013025482163575,1.013025482163575,1.0363099208295403,1.0544642653775105
2016-03-08,1.0250052457772896,1.0269307725862444,1.0115077364722331,1.0115077364722331,1.0263018292870971,1.0370567124581933
2016-03-09,1.0300684026916729,1.0286999259825476,1.0083276472709748,1.0083276472709748,1.031481094654809,1.0431835713974895
2016-03-10,1.0308949165145298,1.0291435175091006,1.0126152000359538,1.0126152000359538,1.0306792050069844,1.0403567700049299
2016-03-11,1.047530389040309,1.0401450493618491,1.0088451602598913,1.0088451602598913,1.0512097767087303,1.0611162135036212
2016-03-14,1.0461874326511391,1.0371636567064344,1.0051332129711452,1.0051332129711452,1.0506192267635206,1.0586641171038194
2016-03-15,1.0444824147706127,1.0312996363294904,1.005157691579165,1.005157691579165,1.0466111404170308,1.0480034144208115
2016-03-16,1.0505269341208918,1.0424769094267958,1.0155624893694806,1.0155624893694806,1.0548169239418135,1.0605751067844218
2016-03-17,1.0571919700147256,1.0500975798574188,1.0178177761369285,1.0178177761369285,1.0595580944723832,1.073588814370275
2016-03-18,1.0613463264036709,1.0527152901802999,1.0189303795565774,1.0189303795565774,1.0608863074073915,1.0792811252733903
2016-03-21,1.0628521730609044,1.0510260870247774,1.014425363025844,1.014425363025844,1.0622179118083812,1.0805751316758525
2016-03-22,1.0622809350312818,1.0510193844955513,1.0151594075929522,1.0151594075929522,1.0624947157465996,1.080404601667535
