strategy,cumulative_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,average_turnover,initial_turnover,final_equity
SPY Buy & Hold,0.3721016198948981,0.2704804701381567,0.182675109665388,1.4013295778702857,1.771425683614883,-0.1875523040397229,1.4421602097773745,0.5945945945945946,0.0,0.5,1.372101619894898
Equal Weight Universe,0.31953801641939683,0.23347426176531094,0.13636408059971608,1.6070059127032097,2.2458041230678,-0.1275607257703899,1.8302989447203841,0.5915915915915916,0.0,0.4999999999999999,1.3195380164193968
Top-k Momentum,0.40916036584968496,0.2963635280858128,0.14625797321125902,1.8484131365900573,2.538321570666053,-0.13902545793145216,2.131721286844728,0.5645645645645646,0.1111111111111111,0.5,1.409160365849685
Top-k Vol-Adjusted Momentum,0.37414015110892485,0.27190863043869373,0.14538934157838504,1.7272637945968163,2.3665521313851023,-0.13660394774712636,1.9904888176587392,0.5735735735735735,0.22222222222222224,0.5,1.3741401511089248
Ridge Predicted Return,0.343093394575388,0.25010140255636815,0.14870562840650536,1.5753725595294723,2.180234751597663,-0.13350853733189771,1.8732989481760594,0.5825825825825826,0.24444444444444446,0.5,1.343093394575388
Gradient Boosting Predicted Return,0.39165343151245846,0.2841570068974404,0.11864509726620881,2.168152338151846,3.1528508275105125,-0.07865124267180101,3.612873709868538,0.5645645645645646,0.44444444444444436,0.5,1.3916534315124585
