date,SPY,QQQ,IWM,EFA,EEM,TLT,GLD
2010-01-04,84.57844543457031,40.24656677246094,51.244693756103516,34.58121109008789,30.194557189941406,55.72284698486328,109.80000305175781
2010-01-05,84.80233764648438,40.24656677246094,51.06850051879883,34.6116828918457,30.413715362548828,56.08268356323242,109.69999694824219
2010-01-06,84.8620834350586,40.0037956237793,51.020442962646484,34.757991790771484,30.477346420288086,55.33198928833008,111.51000213623047
2010-01-07,85.22026062011719,40.02980422973633,51.396881103515625,34.6238899230957,30.300615310668945,55.425052642822266,110.81999969482422
2010-01-08,85.50391387939453,40.35926818847656,51.67720413208008,34.8981819152832,30.540977478027344,55.40022659301758,111.37000274658203
2010-01-11,85.623291015625,40.194549560546875,51.468963623046875,35.184688568115234,30.477346420288086,55.09620666503906,112.8499984741211
2010-01-12,84.82478332519531,39.691680908203125,50.90829849243164,34.770172119140625,29.989543914794922,56.03928756713867,110.48999786376953
2010-01-13,85.54122161865234,40.18586349487305,51.56507110595703,35.06277847290039,30.081449508666992,55.387813568115234,111.54000091552734
2010-01-14,85.77256774902344,40.220558166503906,51.757328033447266,35.33098602294922,30.00367546081543,56.16338348388672,112.02999877929688
2010-01-15,84.80982208251953,39.75236511230469,51.00441360473633,34.77627182006836,29.657258987426758,56.51083755493164,110.86000061035156
2010-01-19,85.86959075927734,40.39396667480469,51.94153594970703,35.11763381958008,30.258197784423828,56.349525451660156,111.5199966430664
2010-01-20,84.99640655517578,39.81304931640625,51.18863296508789,34.221553802490234,29.53002166748047,56.92034149169922,108.94000244140625
2010-01-21,83.36199188232422,39.440242767333984,50.347652435302734,33.49007034301758,28.639232635498047,57.18092727661133,107.37000274658203
2010-01-22,81.50371551513672,38.2871208190918,49.44256591796875,32.837825775146484,28.002973556518555,57.081642150878906,107.16999816894531
2010-01-25,81.92163848876953,38.41716766357422,49.49863052368164,33.240135192871094,28.20798683166504,56.82106018066406,107.4800033569336
2010-01-26,81.57833862304688,38.45186233520508,49.01005554199219,33.051177978515625,27.621204376220703,56.839664459228516,107.55999755859375
2010-01-27,81.9664306640625,38.75531768798828,49.53068161010742,33.01460266113281,27.550506591796875,56.808658599853516,106.52999877929688
2010-01-28,81.0261001586914,37.75824737548828,48.68165588378906,32.45989227294922,27.3596248626709,56.777610778808594,106.4800033569336
2010-01-29,80.14543914794922,37.09933090209961,48.14502716064453,31.990509033203125,27.06270408630371,57.27397537231445,105.95999908447266
